start_date,end_date,event
2025-08-01,2025-09-15,2025 Fall Semester: Unenrolled Undergraduate Semester Break Application
2025-08-19,2025-08-25,2025 Fall Semester: Tuition Payment & 0 Payment Registration
2025-08-20,2025-08-26,2025 Fall Semester: Undergraduate Reinstatement
2025-08-20,2025-08-22,2025 Fall Semester: Course Registration (Undergraduate)
2025-08-21,2025-08-21,2024: Summer Commencement Ceremony
2025-09-18,2025-09-19,2025 Fall Semester: Sungshin Festival <Feast Of Stars: Into The Dreams>
2025-09-01,2025-12-22,First ~ Last day of 2025 Fall Semester
2025-12-15,2025-12-26,2025 Fall Semester: Final Tests Period
2025-12-22,2025-12-22,Last Day Of 2025 Fall Semester
2025-12-23,2026-01-14,2025 Winter School
2025-12-26,2026-01-02,2025 Fall Semester: Grade Check
2025-12-29,2025-12-31,2025 Fall Semester: Request For Grade Review/Recheck Period
